GrandPrix,RiderNumber,RiderName,GridPosition,SprintFinish,MainRaceFinish
Thailand,1,Jorge Martín,,,
Thailand,5,Johann Zarco,12,10,7
Thailand,10,Luca Marini,16,15,12
Thailand,12,Maverick Viñales,18,14,16
Thailand,20,Fabio Quartararo,10,7,15
Thailand,21,Franco Morbidelli,9,5,4
Thailand,23,Enea Bastianini,20,18,9
Thailand,25,Raúl Fernández,7,11,23
Thailand,33,Brad Binder,14,8,8
Thailand,35,Somkiat Chantra,22,19,18
Thailand,36,Joan Mir,11,9,23
Thailand,37,Pedro Acosta,6,6,19
Thailand,42,Álex Rins,19,17,17
Thailand,43,Jack Miller,4,23,11
Thailand,49,Fabio Di Giannantonio,13,23,10
Thailand,54,Fermín Aldeguer,15,13,13
Thailand,63,Francesco Bagnaia,3,3,3
Thailand,72,Marco Bezzecchi,8,12,6
Thailand,73,Álex Márquez,2,2,2
Thailand,79,Ai Ogura,5,4,5
Thailand,88,Miguel Oliveira,17,16,14
Thailand,93,Marc Márquez,1,1,1

Argentina,1,Jorge Martín,,,
Argentina,5,Johann Zarco,3,4,6
Argentina,10,Luca Marini,16,13,11
Argentina,12,Maverick Viñales,20,18,13
Argentina,20,Fabio Quartararo,7,10,15
Argentina,21,Franco Morbidelli,8,7,3
Argentina,23,Enea Bastianini,21,14,18
Argentina,25,Raúl Fernández,18,16,16
Argentina,33,Brad Binder,11,23,7
Argentina,35,Somkiat Chantra,19,17,19
Argentina,36,Joan Mir,10,8,10
Argentina,37,Pedro Acosta,5,9,9
Argentina,42,Álex Rins,12,12,12
Argentina,43,Jack Miller,13,11,14
Argentina,49,Fabio Di Giannantonio,6,5,5
Argentina,54,Fermín Aldeguer,14,19,17
Argentina,63,Francesco Bagnaia,4,3,4
Argentina,72,Marco Bezzecchi,9,6,23
Argentina,73,Álex Márquez,2,2,2
Argentina,79,Ai Ogura,15,15,23
Argentina,88,Miguel Oliveira,17,23,23
Argentina,93,Marc Márquez,1,1,1

Americas,1,Jorge Martín,,,
Americas,5,Johann Zarco,15,16,17
Americas,10,Luca Marini,7,8,8
Americas,12,Maverick Viñales,10,23,14
Americas,20,Fabio Quartararo,11,6,10
Americas,21,Franco Morbidelli,5,5,4
Americas,23,Enea Bastianini,17,13,7
Americas,25,Raúl Fernández,19,17,12
Americas,33,Brad Binder,16,12,23
Americas,35,Somkiat Chantra,13,19,16
Americas,36,Joan Mir,7,23,23
Americas,37,Pedro Acosta,4,7,23
Americas,42,Álex Rins,14,15,11
Americas,43,Jack Miller,9,14,5
Americas,49,Fabio Di Giannantonio,2,4,3
Americas,54,Fermín Aldeguer,12,11,23
Americas,63,Francesco Bagnaia,6,3,1
Americas,72,Marco Bezzecchi,13,10,6
Americas,73,Álex Márquez,3,2,2
Americas,79,Ai Ogura,18,9,9
Americas,88,Miguel Oliveira,,,
Americas,93,Marc Márquez,1,1,23

Qatar,1,Jorge Martín,14,16,
Qatar,5,Johann Zarco,7,23,4
Qatar,10,Luca Marini,15,15,10
Qatar,12,Maverick Viñales,6,10,14
Qatar,20,Fabio Quartararo,3,5,7
Qatar,21,Franco Morbidelli,4,3,3
Qatar,23,Enea Bastianini,20,13,11
Qatar,25,Raúl Fernández,17,17,17
Qatar,33,Brad Binder,18,14,13
Qatar,35,Somkiat Chantra,22,20,18
Qatar,36,Joan Mir,21,,23
Qatar,37,Pedro Acosta,12,11,8
Qatar,42,Álex Rins,9,12,12
Qatar,43,Jack Miller,16,19,23
Qatar,49,Fabio Di Giannantonio,5,6,16
Qatar,54,Fermín Aldeguer,8,4,5
Qatar,63,Francesco Bagnaia,11,8,2
Qatar,72,Marco Bezzecchi,13,9,9
Qatar,73,Álex Márquez,2,2,6
Qatar,79,Ai Ogura,10,7,15
Qatar,88,Miguel Oliveira,,,
Qatar,93,Marc Márquez,1,1,1

Spain,1,Jorge Martín,,,
Spain,5,Johann Zarco,10,23,11
Spain,10,Luca Marini,16,13,10
Spain,12,Maverick Viñales,6,7,4
Spain,20,Fabio Quartararo,1,23,2
Spain,21,Franco Morbidelli,5,4,23
Spain,23,Enea Bastianini,18,14,9
Spain,25,Raúl Fernández,17,16,15
Spain,33,Brad Binder,13,11,6
Spain,35,Somkiat Chantra,21,20,23
Spain,36,Joan Mir,9,9,23
Spain,37,Pedro Acosta,12,10,7
Spain,42,Álex Rins,23,15,13
Spain,43,Jack Miller,14,23,23
Spain,49,Fabio Di Giannantonio,8,6,5
Spain,54,Fermín Aldeguer,7,5,23
Spain,63,Francesco Bagnaia,3,3,3
Spain,72,Marco Bezzecchi,11,8,14
Spain,73,Álex Márquez,4,2,1
Spain,79,Ai Ogura,15,12,8
Spain,88,Miguel Oliveira,,,
Spain,93,Marc Márquez,2,1,12

France,1,Jorge Martín,,,
France,5,Johann Zarco,11,6,1
France,10,Luca Marini,16,12,11
France,12,Maverick Viñales,5,5,5
France,20,Fabio Quartararo,1,4,23
France,21,Franco Morbidelli,9,15,15
France,23,Enea Bastianini,18,13,13
France,25,Raúl Fernández,10,10,7
France,33,Brad Binder,13,23,23
France,35,Somkiat Chantra,,,
France,36,Joan Mir,15,9,23
France,37,Pedro Acosta,12,19,4
France,42,Álex Rins,14,15,12
France,43,Jack Miller,8,11,23
France,49,Fabio Di Giannantonio,17,7,8
France,54,Fermín Aldeguer,4,3,3
France,63,Francesco Bagnaia,6,23,16
France,72,Marco Bezzecchi,7,17,14
France,73,Álex Márquez,3,2,23
France,79,Ai Ogura,19,14,10
France,88,Miguel Oliveira,,,
France,93,Marc Márquez,2,1,2

Great Britain,1,Jorge Martín,,,
Great Britain,5,Johann Zarco,9,1,2
Great Britain,10,Luca Marini,8,10,15
